year,date,category,country,city,event,line
"1965","1 апреля - 31 декабря","foreign","Польша","Варшава","departure","16 час. 15 мин. Л.И. выехал в Варшаву."
"1965","9 июля. пятница","ussr","СССР","Ленинград","stay","Л.И. находился в Ленинграде."
"1965","17 июля. суббота","foreign","Румыния","Бухарест","departure","1 О час. Л.И. во главе делегации отбыл в Бухарест на съезд Румынской рабочей партии."
"1965","25 июля. воскресенье","ussr","СССР","Кишинёв","departure","Л.И. в 13:i:l прибыл в Кишинев, откуда в 18111 вылетел в Москву. Прибыл в 2~. В а[эро] п[орту] беседовал с членами и канЩ:идатами в члены] ПрезиЩиума] ЦК и секр"
"1965","31 июля. суббота","ussr","СССР","Симферополь","departure","1900 - прибыл в Симферополь."
"1965","17 октября. воскресенье","foreign","Чехословакия","Прага","departure","Л.И. прибыл из г. Праги в 16 ч. 50 мин."
"1965","24 октября. воскресенье","ussr","СССР","Киев","stay","Л.И. находился в Киеве по случаю торжеств- вручение «Золотой Звезды» Городу-герою."
"1965","29 октября. nятница","foreign","Польша","Беловежская пуща","stay","Л.И. находился в Беловежской Пуще на перегонорах с Польской делегаt~11еi1."
"1965","13 ноября. суббота","ussr","СССР","Завидово","departure","Л.И. 11 ч. 30 м. уехал в «Завидово>>."
"1965","29 ноября. понедельник","foreign","ГДР","Берлин","stay","В 21!ЮЛ.И. вернулся сам[оле]том из Берлина в Москву."
"1965","20 декабря. nонедельник","ussr","СССР","Завидово","departure","Л.И. вместе с Урхо К. Кекконеном и т. Подгорным Н.В. выехал в Завидово в [[00. в 23211 звонил л.и."
"1966","10 января","ussr","СССР","Ташкент","stay","« ВЧ -грамму» для голосования о командировании в Дели то в. Косыгина А. Н. для сопровождения из Ташкента в Индию тела почившего Премьер-министра JI.Б. Шастри и "
"1966","12 января","foreign","Монголия",None,"stay","Jl.11. находился во главе Партийно-llравитеJН,ственной делегации в Монгольской llародной Рес11убю1ке."
"1966","22 января","ussr","СССР","Завидово","departure","В 1500 уехал в Завидово."
"1966","13 марта","ussr","СССР","Завидово","stay","Л.И. находился в Завидово, где продолжал работу наддокументами предстоящего XXIII"
"1966","26 апреля","ussr","СССР","Ташкент","departure","Вылетел в гор. Ташкент в 11 ;:s."
"1966","27 апреля","ussr","СССР","Узбекистан","stay","Л.И. вместе с то в. Косыгиным A.I-1. находился в Узбекистане (Ташкенте, посетил р[ ай о ]1ш города, пострадавшие от землетрясения, выезжал в р[ ай о ]н Голодной"
"1966","28 апреля","ussr","СССР","Краснодар","departure","В JQOO (м[ осковское] вр[ ем я]) Л.И. из Ташкента вылетел в г. Краснодар, куда прибыли 1 в 1"
"1966","7 мая","ussr","СССР","Заречье","stay","Л.И. находился в «Заречье»."
"1966","10 мая","foreign","Румыния","Бухарест","stay","В 9 ч. ;ш м. Л.И. с аэродрома Внуконо-11 отбыJI в командировку (в Бухарест)."
"1966","17 мая","ussr","СССР","Иркутск","departure","12i2 вылетел в Иркутск."
"1966","19 мая","ussr","СССР","Владивосток","stay","Л.И. - находился во Владивостоке."
"1966","30 мая","foreign","Чехословакия",None,"departure","В 14;ш Л.И. во главе делегации КПСС вылетел в Чехасловакию на XIII съезд КПЧ."
"1966","8 июля","foreign","Румыния","Бухарест","departure","Л.И. вылетел самолето!l-1 из Бухареста в J41!!' (м] щ·ковское 1 вр] ем я 1 ). ( J41!! )."
"1966","17 июля","ussr","СССР","Крым","stay","Л.И. находился на отдыхе в Крыму (Ялта)."
"1966","18 июля","ussr","СССР","Ялта","stay","Л.И. находился на отдыхе в Ялте."
"1966","30 июля","ussr","СССР","Завидово","stay","Л.И.- находился в «Завидово»."
"1966","5 августа","ussr","СССР","Ялта","stay","Л.11. - на отдыхе в Ялте."
"1966","7 августа","ussr","СССР","Крым","stay","Л. И. находился на отдыхе в Крыму."
"1966","8 августа","ussr","СССР","Ялта","stay","JI.И. - на отдыхе в Ялте."
"1966","10 августа","ussr","СССР","Крым","stay","Л.И. находился на отдыхе в Крыму."
"1966","11 августа","ussr","СССР","Ялта","stay","Л. И.- на отдыхе в Ялте."
"1966","4 сентября","ussr","СССР","Завидово","stay","Л.И. - возвратился из «Завндово>> в 1500 звонил в Приемную Л.И."
"1966","16 сентября","ussr","СССР","Заречье","departure","Уехал l4illl в Заречье. l7lli1 самолетом с Внуково- 11 Л.И. отбыл в Киев, прибыл 182!1."
"1966","16 сентября","ussr","СССР","Киев","departure","Уехал l4illl в Заречье. l7lli1 самолетом с Внуково- 11 Л.И. отбыл в Киев, прибыл 182!1."
